run_id,scale,structure,pe_type,mixing_ratio,epoch,params_count,wasserstein_dist,id_loss,ood_loss,seed
small_balanced_ape_ratio0.0_N1000000,small,balanced,ape,0.0,1,86632704,0.1904163624038711,0.052237490106307335,2.7880967547999154,42
small_balanced_ape_ratio0.0_N1000000,small,balanced,ape,0.0,2,86632704,0.1904163624038711,0.04680409643541821,2.777295967446098,42
small_balanced_ape_ratio0.0_N1000000,small,balanced,ape,0.0,3,86632704,0.1904163624038711,0.04662756222154935,2.7806779536642607,42
small_balanced_ape_ratio0.5_N1000000,small,balanced,ape,0.5,1,86632704,2.7912156890041175,0.0925973169696148,0.16179798053035252,42
small_balanced_ape_ratio0.5_N1000000,small,balanced,ape,0.5,2,86632704,2.7912156890041175,0.08156513509428714,0.14718642095221748,42
small_balanced_ape_ratio0.5_N1000000,small,balanced,ape,0.5,3,86632704,2.7912156890041175,0.08136657818846996,0.14698861727986154,42
small_balanced_ape_ratio1.0_N1000000,small,balanced,ape,1.0,1,86632704,2.763189927006085,0.043816992851055184,1.549289988188804,42
small_balanced_ape_ratio1.0_N1000000,small,balanced,ape,1.0,2,86632704,2.763189927006085,0.040723855785854024,1.5486645666481573,42
small_balanced_ape_ratio1.0_N1000000,small,balanced,ape,1.0,3,86632704,2.763189927006085,0.04062555832288149,1.5465898039408876,42
small_balanced_rope_ratio0.0_N1000000,small,balanced,rope,0.0,1,86636544,0.1904163624038711,0.1038054546812916,0.7782716470051415,42
small_balanced_rope_ratio0.0_N1000000,small,balanced,rope,0.0,2,86636544,0.1904163624038711,0.0970753816235096,0.7727295233856274,42
small_balanced_rope_ratio0.0_N1000000,small,balanced,rope,0.0,3,86636544,0.1904163624038711,0.09677949893619399,0.7727041089836555,42
small_balanced_rope_ratio0.5_N1000000,small,balanced,rope,0.5,1,86636544,2.7912156890041175,0.11429932738280357,0.19823268319987045,42
small_balanced_rope_ratio0.5_N1000000,small,balanced,rope,0.5,2,86636544,2.7912156890041175,0.10562228261852813,0.18723934002314943,42
small_balanced_rope_ratio0.5_N1000000,small,balanced,rope,0.5,3,86636544,2.7912156890041175,0.10531155048581341,0.1869890884130816,42
small_balanced_rope_ratio1.0_N1000000,small,balanced,rope,1.0,1,86636544,2.763189927006085,0.07320439167644667,0.5953784315269205,42
small_balanced_rope_ratio1.0_N1000000,small,balanced,rope,1.0,2,86636544,2.763189927006085,0.06842343708324006,0.5940883369008197,42
small_balanced_rope_ratio1.0_N1000000,small,balanced,rope,1.0,3,86636544,2.763189927006085,0.0682558318661988,0.5937663022475906,42
small_deep_ape_ratio0.0_N1000000,small,deep,ape,0.0,1,5732928,0.2733985140634013,0.8216004069808804,2.204399103364244,42
small_deep_ape_ratio0.0_N1000000,small,deep,ape,0.0,2,5732928,0.2733985140634013,0.8083255540989244,2.1903928506869477,42
small_deep_ape_ratio0.0_N1000000,small,deep,ape,0.0,3,5732928,0.2733985140634013,0.8080576948650048,2.190256703966342,42
small_deep_ape_ratio0.0_N1000000,small,deep,ape,0.0,3,5732928,0.1904163624038711,0.37126471997451416,1.9520261938784533,42
small_deep_ape_ratio0.5_N1000000,small,deep,ape,0.5,1,5732928,2.7834299721901647,0.8322002908305439,0.9946550107992496,42
small_deep_ape_ratio0.5_N1000000,small,deep,ape,0.5,2,5732928,2.7834299721901647,0.8148880520897448,0.9760292505684752,42
small_deep_ape_ratio0.5_N1000000,small,deep,ape,0.5,3,5732928,2.7834299721901647,0.8143190275067869,0.9756987854695549,42
